Id,Source,Target,Weight,Description
P1-S1,P1,S1,1,party-state
S1-H1,S1,H1,1,state-human
H1-E1,H1,E1,0.3333333333333333,human-education
H1-E1,H1,E1,0.3333333333333333,human-education
H1-E2,H1,E2,0.3333333333333333,human-education
P1-S1,P1,S1,1,party-state
S1-H2,S1,H2,1,state-human
H2-E3,H2,E3,0.5,human-education
H2-E4,H2,E4,0.5,human-education
P2-S2,P2,S2,1,party-state
S2-H3,S2,H3,1,state-human
H3-E5,H3,E5,1.0,human-education
P2-S3,P2,S3,1,party-state
S3-H4,S3,H4,1,state-human
H4-E6,H4,E6,0.5,human-education
H4-E7,H4,E7,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H5,S4,H5,1,state-human
H5-E8,H5,E8,0.3333333333333333,human-education
H5-E9,H5,E9,0.3333333333333333,human-education
H5-E9,H5,E9,0.3333333333333333,human-education
P1-S5,P1,S5,1,party-state
S5-H6,S5,H6,1,state-human
H6-E6,H6,E6,0.5,human-education
P1-S1,P1,S1,1,party-state
S1-H7,S1,H7,1,state-human
H7-E10,H7,E10,0.5,human-education
H7-E11,H7,E11,0.5,human-education
P1-S4,P1,S4,1,party-state
S4-H8,S4,H8,1,state-human
H8-E12,H8,E12,0.5,human-education
H8-E12,H8,E12,0.5,human-education
P1-S6,P1,S6,1,party-state
S6-H9,S6,H9,1,state-human
H9-E13,H9,E13,0.5,human-education
H9-E14,H9,E14,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H10,S4,H10,1,state-human
H10-E15,H10,E15,0.25,human-education
H10-E16,H10,E16,0.25,human-education
H10-E17,H10,E17,0.25,human-education
H10-E17,H10,E17,0.25,human-education
P1-S1,P1,S1,1,party-state
S1-H11,S1,H11,1,state-human
P2-S4,P2,S4,1,party-state
S4-H12,S4,H12,1,state-human
H12-E18,H12,E18,1.0,human-education
P2-S3,P2,S3,1,party-state
S3-H13,S3,H13,1,state-human
H13-E19,H13,E19,1.0,human-education
P1-S5,P1,S5,1,party-state
S5-H14,S5,H14,1,state-human
H14-E20,H14,E20,0.5,human-education
H14-E21,H14,E21,0.5,human-education
P2-S1,P2,S1,1,party-state
S1-H15,S1,H15,1,state-human
H15-E22,H15,E22,0.3333333333333333,human-education
H15-E22,H15,E22,0.3333333333333333,human-education
H15-E23,H15,E23,0.3333333333333333,human-education
P2-S3,P2,S3,1,party-state
S3-H16,S3,H16,1,state-human
H16-E24,H16,E24,0.25,human-education
H16-E25,H16,E25,0.25,human-education
H16-E26,H16,E26,0.25,human-education
P2-S4,P2,S4,1,party-state
S4-H17,S4,H17,1,state-human
H17-E27,H17,E27,0.3333333333333333,human-education
H17-E28,H17,E28,0.3333333333333333,human-education
P1-S1,P1,S1,1,party-state
S1-H18,S1,H18,1,state-human
H18-E29,H18,E29,0.5,human-education
H18-E30,H18,E30,0.5,human-education
P2-S5,P2,S5,1,party-state
S5-H19,S5,H19,1,state-human
H19-E31,H19,E31,0.5,human-education
P1-S3,P1,S3,1,party-state
S3-H20,S3,H20,1,state-human
H20-E32,H20,E32,0.25,human-education
H20-E33,H20,E33,0.25,human-education
H20-E34,H20,E34,0.25,human-education
H20-E35,H20,E35,0.25,human-education
P2-S4,P2,S4,1,party-state
S4-H21,S4,H21,1,state-human
H21-E36,H21,E36,0.5,human-education
H21-E9,H21,E9,0.5,human-education
P2-S1,P2,S1,1,party-state
S1-H22,S1,H22,1,state-human
H22-E37,H22,E37,0.3333333333333333,human-education
H22-E38,H22,E38,0.3333333333333333,human-education
H22-E39,H22,E39,0.3333333333333333,human-education
P2-S2,P2,S2,1,party-state
S2-H23,S2,H23,1,state-human
H23-E40,H23,E40,0.5,human-education
H23-E5,H23,E5,0.5,human-education
P1-S1,P1,S1,1,party-state
S1-H24,S1,H24,1,state-human
H24-E6,H24,E6,0.25,human-education
H24-E41,H24,E41,0.25,human-education
H24-E42,H24,E42,0.25,human-education
H24-E43,H24,E43,0.25,human-education
P1-S5,P1,S5,1,party-state
S5-H25,S5,H25,1,state-human
H25-E44,H25,E44,0.3333333333333333,human-education
H25-E45,H25,E45,0.3333333333333333,human-education
H25-E46,H25,E46,0.3333333333333333,human-education
P2-S4,P2,S4,1,party-state
S4-H26,S4,H26,1,state-human
H26-E47,H26,E47,0.5,human-education
P2-S6,P2,S6,1,party-state
S6-H27,S6,H27,1,state-human
H27-E13,H27,E13,0.5,human-education
H27-E8,H27,E8,0.5,human-education
P2-S7,P2,S7,1,party-state
S7-H28,S7,H28,1,state-human
H28-E48,H28,E48,0.5,human-education
P2-S8,P2,S8,1,party-state
S8-H29,S8,H29,1,state-human
H29-E49,H29,E49,0.5,human-education
H29-E50,H29,E50,0.5,human-education
P1-S3,P1,S3,1,party-state
S3-H30,S3,H30,1,state-human
H30-E51,H30,E51,0.3333333333333333,human-education
H30-E52,H30,E52,0.3333333333333333,human-education
P1-S1,P1,S1,1,party-state
S1-H31,S1,H31,1,state-human
H31-E6,H31,E6,0.5,human-education
H31-E53,H31,E53,0.5,human-education
P1-S8,P1,S8,1,party-state
S8-H32,S8,H32,1,state-human
H32-E54,H32,E54,0.5,human-education
P2-S1,P2,S1,1,party-state
S1-H33,S1,H33,1,state-human
P1-S1,P1,S1,1,party-state
S1-H34,S1,H34,1,state-human
H34-E6,H34,E6,0.5,human-education
H34-E43,H34,E43,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H35,S4,H35,1,state-human
H35-E55,H35,E55,0.3333333333333333,human-education
H35-E56,H35,E56,0.3333333333333333,human-education
H35-E57,H35,E57,0.3333333333333333,human-education
P1-S5,P1,S5,1,party-state
S5-H36,S5,H36,1,state-human
P2-S4,P2,S4,1,party-state
S4-H37,S4,H37,1,state-human
H37-E15,H37,E15,0.3333333333333333,human-education
H37-E58,H37,E58,0.3333333333333333,human-education
P1-S1,P1,S1,1,party-state
S1-H38,S1,H38,1,state-human
H38-E59,H38,E59,0.5,human-education
H38-E60,H38,E60,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H39,S4,H39,1,state-human
H39-E15,H39,E15,0.5,human-education
H39-E61,H39,E61,0.5,human-education
P1-S7,P1,S7,1,party-state
S7-H40,S7,H40,1,state-human
H40-E62,H40,E62,0.5,human-education
H40-E63,H40,E63,0.5,human-education
P1-S3,P1,S3,1,party-state
S3-H41,S3,H41,1,state-human
H41-E64,H41,E64,0.5,human-education
H41-E64,H41,E64,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H42,S4,H42,1,state-human
H42-E65,H42,E65,0.5,human-education
H42-E28,H42,E28,0.5,human-education
P1-S4,P1,S4,1,party-state
S4-H43,S4,H43,1,state-human
H43-E66,H43,E66,0.5,human-education
H43-E65,H43,E65,0.5,human-education
P1-S6,P1,S6,1,party-state
S6-H44,S6,H44,1,state-human
H44-E67,H44,E67,0.5,human-education
H44-E68,H44,E68,0.5,human-education
P2-S2,P2,S2,1,party-state
S2-H45,S2,H45,1,state-human
H45-E60,H45,E60,0.5,human-education
P2-S6,P2,S6,1,party-state
S6-H46,S6,H46,1,state-human
H46-E69,H46,E69,0.5,human-education
H46-E69,H46,E69,0.5,human-education
P2-S6,P2,S6,1,party-state
S6-H47,S6,H47,1,state-human
H47-E67,H47,E67,0.5,human-education
H47-E70,H47,E70,0.5,human-education
P1-S2,P1,S2,1,party-state
S2-H48,S2,H48,1,state-human
H48-E71,H48,E71,0.5,human-education
P1-S3,P1,S3,1,party-state
S3-H49,S3,H49,1,state-human
H49-E72,H49,E72,0.3333333333333333,human-education
H49-E73,H49,E73,0.3333333333333333,human-education
H49-E74,H49,E74,0.3333333333333333,human-education
P1-S6,P1,S6,1,party-state
S6-H50,S6,H50,1,state-human
H50-E75,H50,E75,0.3333333333333333,human-education
H50-E76,H50,E76,0.3333333333333333,human-education
H50-E77,H50,E77,0.3333333333333333,human-education
P2-S6,P2,S6,1,party-state
S6-H51,S6,H51,1,state-human
H51-E78,H51,E78,0.5,human-education
H51-E69,H51,E69,0.5,human-education
P1-S7,P1,S7,1,party-state
S7-H52,S7,H52,1,state-human
H52-E79,H52,E79,0.3333333333333333,human-education
H52-E80,H52,E80,0.3333333333333333,human-education
H52-E80,H52,E80,0.3333333333333333,human-education
P1-S4,P1,S4,1,party-state
S4-H53,S4,H53,1,state-human
H53-E8,H53,E8,0.16666666666666666,human-education
H53-E12,H53,E12,0.16666666666666666,human-education
H53-E28,H53,E28,0.16666666666666666,human-education
H53-E12,H53,E12,0.16666666666666666,human-education
H53-E8,H53,E8,0.16666666666666666,human-education
H53-E81,H53,E81,0.16666666666666666,human-education
P1-S1,P1,S1,1,party-state
S1-H54,S1,H54,1,state-human
H54-E82,H54,E82,0.5,human-education
H54-E83,H54,E83,0.5,human-education
P1-S4,P1,S4,1,party-state
S4-H55,S4,H55,1,state-human
H55-E84,H55,E84,0.25,human-education
H55-E85,H55,E85,0.25,human-education
H55-E86,H55,E86,0.25,human-education
H55-E87,H55,E87,0.25,human-education
P1-S4,P1,S4,1,party-state
S4-H56,S4,H56,1,state-human
H56-E76,H56,E76,0.25,human-education
H56-E88,H56,E88,0.25,human-education
H56-E75,H56,E75,0.25,human-education
P1-S1,P1,S1,1,party-state
S1-H57,S1,H57,1,state-human
H57-E6,H57,E6,0.5,human-education
H57-E89,H57,E89,0.5,human-education
P1-S1,P1,S1,1,party-state
S1-H58,S1,H58,1,state-human
H58-E90,H58,E90,0.5,human-education
H58-E90,H58,E90,0.5,human-education
P2-S6,P2,S6,1,party-state
S6-H59,S6,H59,1,state-human
P1-S6,P1,S6,1,party-state
S6-H60,S6,H60,1,state-human
H60-E78,H60,E78,0.5,human-education
H60-E77,H60,E77,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H61,S4,H61,1,state-human
H61-E91,H61,E91,0.5,human-education
H61-E92,H61,E92,0.5,human-education
P3-S3,P3,S3,1,party-state
S3-H62,S3,H62,1,state-human
H62-E93,H62,E93,0.5,human-education
H62-E51,H62,E51,0.5,human-education
P1-S1,P1,S1,1,party-state
S1-H63,S1,H63,1,state-human
H63-E53,H63,E53,0.5,human-education
H63-E94,H63,E94,0.5,human-education
P1-S8,P1,S8,1,party-state
S8-H64,S8,H64,1,state-human
H64-E49,H64,E49,0.5,human-education
H64-E95,H64,E95,0.5,human-education
P1-S7,P1,S7,1,party-state
S7-H65,S7,H65,1,state-human
H65-E96,H65,E96,0.5,human-education
H65-E96,H65,E96,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H66,S4,H66,1,state-human
H66-E15,H66,E15,0.5,human-education
H66-E9,H66,E9,0.5,human-education
P1-S8,P1,S8,1,party-state
S8-H67,S8,H67,1,state-human
H67-E97,H67,E97,0.5,human-education
H67-E98,H67,E98,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H68,S4,H68,1,state-human
P1-S1,P1,S1,1,party-state
S1-H69,S1,H69,1,state-human
H69-E99,H69,E99,0.5,human-education
H69-E100,H69,E100,0.5,human-education
P1-S1,P1,S1,1,party-state
S1-H70,S1,H70,1,state-human
H70-E101,H70,E101,0.3333333333333333,human-education
H70-E101,H70,E101,0.3333333333333333,human-education
H70-E102,H70,E102,0.3333333333333333,human-education
P1-S3,P1,S3,1,party-state
S3-H71,S3,H71,1,state-human
H71-E103,H71,E103,0.5,human-education
H71-E51,H71,E51,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H72,S4,H72,1,state-human
H72-E15,H72,E15,0.3333333333333333,human-education
H72-E55,H72,E55,0.3333333333333333,human-education
H72-E55,H72,E55,0.3333333333333333,human-education
P1-S1,P1,S1,1,party-state
S1-H73,S1,H73,1,state-human
H73-E13,H73,E13,0.5,human-education
H73-E60,H73,E60,0.5,human-education
P2-S5,P2,S5,1,party-state
S5-H74,S5,H74,1,state-human
H74-E104,H74,E104,0.5,human-education
H74-E105,H74,E105,0.5,human-education
P2-S6,P2,S6,1,party-state
S6-H75,S6,H75,1,state-human
H75-E106,H75,E106,0.25,human-education
H75-E107,H75,E107,0.25,human-education
H75-E69,H75,E69,0.25,human-education
H75-E108,H75,E108,0.25,human-education
P1-S1,P1,S1,1,party-state
S1-H76,S1,H76,1,state-human
H76-E109,H76,E109,1.0,human-education
P1-S5,P1,S5,1,party-state
S5-H77,S5,H77,1,state-human
H77-E110,H77,E110,0.3333333333333333,human-education
H77-E55,H77,E55,0.3333333333333333,human-education
H77-E8,H77,E8,0.3333333333333333,human-education
P1-S7,P1,S7,1,party-state
S7-H78,S7,H78,1,state-human
H78-E6,H78,E6,0.5,human-education
H78-E47,H78,E47,0.5,human-education
P1-S1,P1,S1,1,party-state
S1-H79,S1,H79,1,state-human
H79-E37,H79,E37,1.0,human-education
P2-S6,P2,S6,1,party-state
S6-H80,S6,H80,1,state-human
H80-E111,H80,E111,0.3333333333333333,human-education
H80-E112,H80,E112,0.3333333333333333,human-education
H80-E112,H80,E112,0.3333333333333333,human-education
P2-S3,P2,S3,1,party-state
S3-H81,S3,H81,1,state-human
H81-E32,H81,E32,1.0,human-education
P1-S5,P1,S5,1,party-state
S5-H82,S5,H82,1,state-human
H82-E113,H82,E113,0.3333333333333333,human-education
H82-E8,H82,E8,0.3333333333333333,human-education
H82-E114,H82,E114,0.3333333333333333,human-education
P1-S5,P1,S5,1,party-state
S5-H83,S5,H83,1,state-human
H83-E115,H83,E115,1.0,human-education
P1-S1,P1,S1,1,party-state
S1-H84,S1,H84,1,state-human
H84-E116,H84,E116,0.3333333333333333,human-education
H84-E117,H84,E117,0.3333333333333333,human-education
H84-E118,H84,E118,0.3333333333333333,human-education
P1-S2,P1,S2,1,party-state
S2-H85,S2,H85,1,state-human
H85-E4,H85,E4,1.0,human-education
P1-S7,P1,S7,1,party-state
S7-H86,S7,H86,1,state-human
H86-E119,H86,E119,0.3333333333333333,human-education
H86-E94,H86,E94,0.3333333333333333,human-education
H86-E120,H86,E120,0.3333333333333333,human-education
P1-S4,P1,S4,1,party-state
S4-H87,S4,H87,1,state-human
H87-E121,H87,E121,0.5,human-education
H87-E122,H87,E122,0.5,human-education
P2-S7,P2,S7,1,party-state
S7-H88,S7,H88,1,state-human
H88-E123,H88,E123,1.0,human-education
P1-S3,P1,S3,1,party-state
S3-H89,S3,H89,1,state-human
H89-E32,H89,E32,0.5,human-education
H89-E32,H89,E32,0.5,human-education
P1-S7,P1,S7,1,party-state
S7-H90,S7,H90,1,state-human
H90-E79,H90,E79,0.25,human-education
H90-E124,H90,E124,0.25,human-education
H90-E125,H90,E125,0.25,human-education
H90-E126,H90,E126,0.25,human-education
P1-S6,P1,S6,1,party-state
S6-H91,S6,H91,1,state-human
H91-E127,H91,E127,0.3333333333333333,human-education
H91-E67,H91,E67,0.3333333333333333,human-education
H91-E128,H91,E128,0.3333333333333333,human-education
P1-S1,P1,S1,1,party-state
S1-H92,S1,H92,1,state-human
H92-E129,H92,E129,0.5,human-education
H92-E130,H92,E130,0.5,human-education
P2-S4,P2,S4,1,party-state
S4-H93,S4,H93,1,state-human
P1-S4,P1,S4,1,party-state
S4-H94,S4,H94,1,state-human
H94-E36,H94,E36,0.5,human-education
H94-E8,H94,E8,0.5,human-education
P1-S8,P1,S8,1,party-state
S8-H95,S8,H95,1,state-human
H95-E121,H95,E121,0.5,human-education
H95-E131,H95,E131,0.5,human-education
P1-S7,P1,S7,1,party-state
S7-H96,S7,H96,1,state-human
H96-E132,H96,E132,0.5,human-education
H96-E51,H96,E51,0.5,human-education
P1-S6,P1,S6,1,party-state
S6-H97,S6,H97,1,state-human
H97-E69,H97,E69,0.5,human-education
H97-E69,H97,E69,0.5,human-education
P1-S5,P1,S5,1,party-state
S5-H98,S5,H98,1,state-human
H98-E133,H98,E133,0.5,human-education
H98-E51,H98,E51,0.5,human-education
P1-S7,P1,S7,1,party-state
S7-H99,S7,H99,1,state-human
